No,RESULT_QUALITY,INDT,R_SHTCNT,R_DIECD,R_SHTCYCTM,R_SHTDRYTM,R_SHTPHTIM,R_SHTSTSPT,R_SHTPRSPT,R_SHTCSNVOL,R_SHTMAXPRS,R_SHTKPPRS,R_SHTOPNTM,R_SHTCLSTM,R_SHTPGETTM,R_SHTTPTMP,R_SHTCYL1TMP,R_SHTCYL2TMP,R_SHTCYL3TMP,R_SHTCYL4TMP,R_SHTCYL5TMP,R_SHTHTR01TMP,R_SHTHTR02TMP,R_SHTHTR03TMP,R_SHTHTR04TMP,R_SHTHTR05TMP,R_SHTHTR06TMP,R_SHTHTR07TMP,R_SHTHTR08TMP,R_SHTHTR09TMP,R_SHTHTR10TMP,R_SHTHTR11TMP,R_SHTHTR12TMP,R_SHTHTR13TMP,R_SHTHTR14TMP,R_SHTHTR15TMP,R_SHTHTR16TMP,R_SHTHTR17TMP,R_SHTHTR18TMP,R_SHTHTR19TMP,R_SHTHTR20TMP,R_SHTHTR21TMP,R_SHTHTR22TMP,R_SHTHTR23TMP,R_SHTHTR24TMP,R_SHTHTR25TMP,R_SHTHTR26TMP,R_SHTHTR27TMP,R_SHTHTR28TMP,R_SHTHTR29TMP,R_SHTHTR30TMP,R_SHTHTR31TMP,R_SHTHTR32TMP,R_SHTHTR33TMP,R_SHTROLCNT,R_SHTROLMAX,R_SHTCOLTM,R_SHTKPTM,R_SHTFINPT
1,Good,1/16/2017 8:48,5,Molding_A,35.18,5.76,3.42,187,31,13.2,107.8,77.4,4.06,4.12,,221.1,220.5,221.1,218.1,219.4,215.8,220.1,220.1,220.2,220.2,220,220,220,220,220.3,221,220.5,220.6,239.5,220,220.9,220.5,223.7,220.6,219.7,220.8,219.9,220,220.1,220,223.6,220.7,223.5,220.6,231.7,230.3,231.2,230.4,223.4,,,,,
2,Good,1/16/2017 8:49,6,Molding_A,35.16,6.16,3.43,187,30.9,13.1,107.1,77,4.02,4.1,,221.4,220.5,221.1,217.5,219.4,215.4,220,220.2,220.1,220.1,220.2,220,219.9,220,220.2,221,220.5,220.5,239.9,220,221.2,220.4,222.7,220.7,218.2,220.8,220,220,220.1,220.1,221.9,220.5,222,220.6,230.5,230.3,228.6,230.3,223.4,,,,,
3,Good,1/16/2017 8:49,7,Molding_A,35.2,6.48,3.43,187,31,13.6,108.3,77.6,4.01,4.13,,221.6,220.6,221.2,217.3,218.9,215.3,220.1,220.2,220,220,220.1,220.2,220,219.9,219.9,220.9,220.4,220.4,240.3,220.1,221.5,220.4,222.8,220.6,218.5,220.7,220,220,220.1,220,222.3,220.6,222.4,220.6,230.8,230.4,230.3,230.4,223.4,,,,,
4,Good,1/16/2017 8:51,8,Molding_A,69.75,6.4,3.42,187,31,14.6,111.2,79.6,4.03,4.14,,221.2,220.5,221,216.7,218.2,215.5,220.1,220,219.9,220,219.9,219.9,220,219.7,220.1,220.7,220.3,220.3,238.5,220.1,218.5,219.9,218.6,220,213.7,219.5,219.9,220,219.9,220,219.4,219.8,218.7,220,228.2,229.8,227.5,229.9,222.1,,,,,
5,Good,1/16/2017 8:56,9,Molding_A,38.11,6.49,3.42,187,30.9,12.6,109.9,76.4,4.03,4.2,,218.2,220.1,220.4,219,219.5,221.9,220,220.1,220.1,220.1,220.1,220.3,219.9,220.2,220.1,219.6,219.9,220,240.8,220.6,222,220.1,223.3,220.2,219,220.6,220.1,220.1,220.1,220,221.7,220,222.6,219.9,231.4,230,231.2,229.7,220.2,,,,,
6,Good,1/16/2017 8:56,10,Molding_A,35.98,5.82,3.43,187,31,13.1,108.5,77.4,4.03,4.13,,218.6,220.1,220.6,219.2,219.7,221.6,220,220.1,220.2,220.2,220.1,220.4,220,220.4,220.2,220.1,220.1,220.2,241.2,220.2,222.6,220.3,224.2,220.4,220.1,220.9,220.2,220.1,220.1,219.9,223.1,220.2,223.5,220,232.2,230,232.5,229.7,221.9,,,,,
7,Good,1/16/2017 8:57,11,Molding_A,35.2,6.06,3.42,187,30.9,13,107.2,76.9,4.03,4.11,,219.4,220.2,220.8,219.3,220,220.4,220,220.2,220.3,220.3,220.1,220.3,219.9,220.2,220.3,220.4,220.3,220.3,241.2,220,222.7,220.5,224.3,220.6,220.3,221.1,220.1,220,220.2,219.9,223.4,220.5,223.5,220.3,232.1,230.1,232.7,230,222.3,,,,,
8,Good,1/16/2017 8:57,12,Molding_A,35.14,6.1,3.41,187,31,13.4,108.1,77.3,4.03,4.17,,219.9,220.2,220.9,219.4,220.2,219.7,220.1,220.3,220.1,220.3,220.1,220.3,219.9,219.9,220.3,220.8,220.4,220.5,239.9,220,221.3,220.5,222.8,220.7,218.2,220.9,220.1,220,220.1,219.9,221.4,220.4,221.3,220.2,229.7,230,229.1,230.1,222.2,,,,,
9,Good,1/16/2017 8:58,13,Molding_A,35.22,6.59,3.41,187,30.9,13.2,106.5,76.7,4.03,4.14,,220.3,220.2,221,218.6,220.2,218.9,220.1,220.3,220.1,220.1,220.2,220,219.9,220,220.1,220.8,220.4,220.4,240,220,221.3,220.5,222.8,220.7,218.2,220.8,220.1,219.9,220.1,219.9,222.8,220.5,222.7,220.4,231.2,230.2,230,230.4,222.7,,,,,
10,Good,1/16/2017 8:58,14,Molding_A,35.22,7.02,3.42,187,30.9,13.2,107.1,76.8,4.03,4.13,,220.6,220.3,221,218.1,220,218.6,220.2,220.2,220.1,220.1,220.2,220.1,220,220.1,220,220.8,220.3,220.4,240.4,220,221.6,220.5,223,220.6,218.7,220.8,220.1,220,220.2,220,222.2,220.6,222.4,220.6,231,230.3,230.7,230.3,222.6,,,,,
11,Good,1/16/2017 8:59,15,Molding_A,35.24,7.02,3.42,187,31,14,109.6,78.4,4.06,4.13,,221.2,220.3,221.2,217.8,219.7,218.4,220.2,220.1,220,220,219.9,220.2,219.9,219.8,220,220.7,220.3,220.3,240.6,220,221.7,220.4,223.1,220.4,218.8,220.6,220.1,219.9,220.1,220,222.4,220.5,222.5,220.4,231,230.3,231.3,230.1,222.6,,,,,
12,Good,1/16/2017 9:00,16,Molding_A,35.14,7.01,3.39,187,31,14.3,110.6,78.9,4.04,4.13,,221.5,220.4,221.2,218,219.2,218.4,220,220.1,220,219.9,220,219.8,220.1,220,220,220.6,220.2,220.2,240.8,220,221.7,220.2,223,220.3,218.9,220.4,220.1,220,220.1,220,222.5,220.3,222.4,220.3,231.1,230.1,230.4,230.1,222.4,,,,,
13,Good,1/16/2017 9:00,17,Molding_A,35.14,6.99,3.42,187,30.9,14.3,110.6,79.1,4.02,4.11,,221.6,220.3,221.2,218,219.3,218.3,220,220,220,220,219.7,219.8,220,219.9,220.1,220.6,220.2,220.2,239.2,220,219.9,220,222.6,220.1,218.5,220.1,220,220,220,220,222.4,220.2,222.2,220.2,231,230,229.8,230.2,222.2,,,,,
14,Good,1/16/2017 9:01,18,Molding_A,35.23,7.02,3.41,187,31,14.4,111.1,79.4,4.06,4.15,,221.5,220.2,221.1,217.9,219.2,218.2,220,220,219.9,220,219.8,220,219.9,219.8,220.1,220.4,220.2,220.1,239.7,219.9,220.1,219.9,221.3,220,216.8,220,220,219.9,220,219.9,221.9,220,221.7,220.1,230.6,230,231.1,230.2,221.9,,,,,
